Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
"2021,01/2021,Espírito Santo,Campos,JUBARTE,6-BRSA-631DB-ESS,Mar,FPSO CIDADE DE ANCHIETA,""7995,854"",0,""1716,26403"",0,""6691,269"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,6-BRSA-639-ESS,Mar,FPSO CAPIXABA,""59659,993"",0,""12468,27433"",0,""9573,545"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-BAZ-10DA-ESS,Mar,FPSO CIDADE DE ANCHIETA,""25248,217"",0,""4582,18091"",0,""10725,24"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-BAZ-2-ESS,Mar,FPSO CIDADE DE ANCHIETA,,,,,,0,""173084,9"",0,0,0,0,0,0"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-BAZ-3-ESS,Mar,FPSO CIDADE DE ANCHIETA,""12656,027"",0,""3110,18763"",0,""4805,252"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-BAZ-4-ESS,Mar,FPSO CIDADE DE ANCHIETA,""30705,433"",0,""6502,10332"",0,""53171,289"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-BAZ-8-ESS,Mar,PETROBRAS 58,""19390,239"",0,""4659,17442"",0,""18073,16"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-BAZ-9HA-ESS,Mar,FPSO CIDADE DE ANCHIETA,""16333,505"",0,""3360,64557"",0,""188,504"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-BFR-10HP-ESS,Mar,PETROBRAS 58,""6174,218"",0,""576,27701"",0,""19761,985"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-BFR-12PA-ESS,Mar,PETROBRAS 58,""49611,756"",0,""15400,85041"",0,""5538,565"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-BFR-13H-ESS,Mar,PETROBRAS 58,""8389,147"",0,""717,31094"",0,""34524,083"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-BFR-6-ESS,Mar,PETROBRAS 58,,,,,,0,""263080,6"",0,0,0,0,0,0"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-BFR-7-ESS,Mar,PETROBRAS 58,""68505,895"",0,""16268,08203"",0,""9149,826"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-CHT-5HA-ESS,Mar,FPSO CAPIXABA,""29979,734"",0,""1840,76954"",0,""39588,114"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-CHT-7HP-ESS,Mar,FPSO CAPIXABA,""17957,695"",0,""1344,02174"",0,""11107,768"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-CHT-9H-ESS,Mar,FPSO CAPIXABA,""7259,168"",0,""436,77182"",0,""12885,478"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-11HP-ESS,Mar,PETROBRAS 57,""6204,093"",0,""287,01543"",0,""55567,519"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-13HP-ESS,Mar,PETROBRAS 57,""19223,959"",0,""1036,00413"",0,""107149,783"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-14HA-ESS,Mar,PETROBRAS 57,""10593,028"",0,""674,39995"",0,""103778,709"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-16HP-ESS,Mar,PETROBRAS 57,""21788,54"",0,""1185,56193"",0,""94290,978"",,,,,,,,"
2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-18HP-ESS,Mar,Não Informado,0,0,0,0,0,,,,,,,,
"2021,01/2021,Espírito Santo,Campos,JUBARTE,7-JUB-19H-ESS,Mar,PETROBRAS 57,""12292,516"",0,""1041,04995"",0,""81557,664"",,,,,,,,"
